Assessment,History,Homeless,Intervention,Gender,MSEBehaviorDescription,Presenting Problem,Call Sign
,,,,,,,
,,,{'LOCATION': [9]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'NAME': [163]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [108, 112]}",,,,,,
,{'NAME': [2]},,,,,,
,{'LANGUAGE': [10]},,,,,,
,{'OCCUPATION': [18]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [88, 94]}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [29], 'LOCATION': [102, 132, 186], 'WEAPON': [110, 238]}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,{'NAME': [4]},
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
{'AVERAGED': [24]},"{'NAME': [82, 145, 184], 'LOCATION': [127, 131, 172, 174]}",,{'LOCATION': [8]},,,,
,,,,,,,
,"{'LOCATION': [6, 95], 'NAME': [97, 161, 169, 171, 189, 223]}",,{'LOCATION': [39]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'NAME': [19]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'NAME': [13]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [50, 55, 91, 131, 153, 175]}",,{'NAME': [20]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'LOCATION': [24]},,{'NAME': [6]},,,,
,{'NAME': [6]},,,,,,
,"{'NAME': [5, 78]}",,,,,,
,{'NAME': [3]},,,,,{'LOCATION': [4]},
,{'LOCATION': [65]},,,,,,
{'BASELINE': [4]},,,,,{'BASELINE': [10]},,
,"{'LOCATION': [25, 107]}",,,,,,
,,,,,,,
,{'NAME': [50]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'LOCATION': [9, 31, 38]}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [41, 53]}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'NAME': [22], 'LOCATION': [43]}",,,,,,
,,,,,,,
,"{'LOCATION': [19, 35]}",,,,,,
,"{'LOCATION': [49, 50, 53]}",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'LOCATION': [22]},,,,,,
,,,,,,,
,,,,,,,
,{'DATE': [3]},,,,,,
,"{'NAME': [2], 'LOCATION': [21]}",,{'NAME': [2]},,,,
,,,,,,,
,"{'NAME': [4, 14, 60, 109], 'AGE': [13]}",,"{'NAME': [2, 65]}",,,,
,"{'NAME': [2, 55, 60, 66, 189, 192, 201]}",,"{'NAME': [2, 13, 59, 81]}",,,,
,"{'NAME': [5, 16]}",,,,,,
,"{'NAME': [17, 25, 52]}",,{'NAME': [2]},,,,
,,,{'NAME': [8]},,,,
,{'NAME': [6]},,{'NAME': [2]},,,,
,"{'NAME': [6], 'AGE': [7]}",,,,,,
,"{'NAME': [29, 38]}",,,,,,
,,,,,,,
,,,,,,,
,{'LOCATION': [7]},,,,,,
,{'NAME': [11]},,,,,,
,,,,,,,
,"{'NAME': [2, 49]}",,,,,,
,,,,,,,
,"{'NAME': [2, 17, 30, 37, 51]}",,,,{'NAME': [16]},,
,{'NAME': [2]},,,,,,
,{'NAME': [4]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'NAME': [17]},,,,,,
,,,,,,,
,,,{'NAME': [9]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,{'NAME': [1]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"{'LOCATION': [39, 163, 336]}",,,,,,
,,,,,,,
,,,,,,,
,{'LOCATION': [154]},,,,,,
,{'NAME': [8]},,,,,,
,{'NAME': [6]},,,,,,
,,,,,,,
,{'NAME': [3]},,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'NAME': [5]},,,,,,
,,,,,,,
,{'NAME': [40]},,"{'NAME': [2, 7]}",,,,
,,,,,,,
,{'NAME': [7]},,{'NAME': [4]},,,,
,,,{'NAME': [2]},,,,
,"{'NAME': [2, 61, 83, 106, 116, 118, 139, 158, 174, 179]}",,"{'NAME': [2, 44]}",,,,
,,,,,,,
,"{'NAME': [2, 41, 218, 246, 287, 327, 339, 371, 393, 420, 432, 440]}",,,,,,
,"{'NAME': [2, 21]}",,{'NAME': [2]},,,,
,"{'NAME': [13, 18, 85]}",,{'NAME': [2]},,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,{'LOCATION': [14]},,{'LOCATION': [2]},,,,
,,,,,,,
